Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-08,1,1,24.084,OAK,DEN,False,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,False,14,41,Michael Bush
2008,2008-09-14,2,2,24.090,OAK,KAN,False,16,90,5.63,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,6,1,1,0,0,0,0,,,,,,,True,True,23,8,Michael Bush
2008,2008-09-21,3,3,24.097,OAK,BUF,False,14,55,3.93,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,23,24,Michael Bush
2008,2008-09-28,4,4,24.104,OAK,SDG,False,14,48,3.43,0,8,7,80,11.43,0,87.5%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,18,28,Michael Bush
2008,2008-10-12,5,6,24.118,OAK,NOR,False,3,9,3.00,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,3,34,Michael Bush
2008,2008-10-19,6,7,24.125,OAK,NYJ,False,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,True,16,13,Michael Bush
2008,2008-10-26,7,8,24.132,OAK,BAL,False,6,10,1.67,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,29,Michael Bush
2008,2008-11-02,8,9,24.139,OAK,ATL,False,3,-2,-0.67,0,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,0,24,Michael Bush
2008,2008-11-09,9,10,24.146,OAK,CAR,False,8,30,3.75,0,9,5,43,8.60,0,55.6%,4.78,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,6,17,Michael Bush
2008,2008-11-16,10,11,,OAK,MIA,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,15,17,Michael Bush
2008,2008-11-23,11,12,24.160,OAK,DEN,False,2,0,0.00,0,0,0,0,,0,0.0%,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,31,10,Michael Bush
2008,2008-11-30,12,13,24.167,OAK,KAN,False,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,False,13,20,Michael Bush
2008,2008-12-04,13,14,24.171,OAK,SDG,False,2,4,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,7,34,Michael Bush
2008,2008-12-14,14,15,24.181,OAK,NWE,False,0,0,,0,1,0,0,,0,0.0%,0.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,14,14.00,0,0,0,0,,0,0,0,0,,,,,,,False,False,26,49,Michael Bush
2008,2008-12-21,15,16,24.188,OAK,HOU,False,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,True,27,16,Michael Bush
2008,2008-12-28,16,17,24.195,OAK,TAM,False,27,177,6.56,2,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,2,12,0,,0,0,0,0,,,,,,,True,True,31,24,Michael Bush
2009,2009-09-14,1,1,25.090,OAK,SDG,True,12,55,4.58,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,20,24,Michael Bush
2009,2009-09-20,2,2,25.096,OAK,KAN,False,9,35,3.89,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,13,10,Michael Bush
2009,2009-09-27,3,3,25.103,OAK,DEN,False,6,20,3.33,0,4,4,20,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,3,23,Michael Bush
2009,2009-10-04,4,4,25.110,OAK,HOU,False,3,10,3.33,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,True,False,6,29,Michael Bush
2009,2009-10-11,5,5,25.117,OAK,NYG,True,12,37,3.08,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,7,44,Michael Bush
2009,2009-10-18,6,6,25.124,OAK,PHI,True,6,22,3.67,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,13,9,Michael Bush
2009,2009-10-25,7,7,25.131,OAK,NYJ,True,8,25,3.13,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,0,38,Michael Bush
2009,2009-11-01,8,8,25.138,OAK,SDG,True,7,27,3.86,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,16,24,Michael Bush
2009,2009-11-15,9,10,25.152,OAK,KAN,True,14,119,8.50,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,16,Michael Bush
2009,2009-11-22,10,11,25.159,OAK,CIN,True,4,27,6.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,1,1,0,0,0,0,,,,,,,False,True,20,17,Michael Bush
2009,2009-11-26,11,12,25.163,OAK,DAL,False,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,7,24,Michael Bush
2009,2009-12-06,12,13,25.173,OAK,PIT,False,1,1,1.00,0,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,27,24,Michael Bush
2009,2009-12-13,13,14,25.180,OAK,WAS,False,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,False,13,34,Michael Bush
2009,2009-12-20,14,15,25.187,OAK,DEN,False,18,133,7.39,1,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,20,19,Michael Bush
2009,2009-12-27,15,16,25.194,OAK,CLE,False,10,52,5.20,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,9,23,Michael Bush
