Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2008,2008-10-26,7,8,22.198,KAN,@,NYJ,L 24-28,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2008,2008-11-02,8,9,22.205,KAN,,TAM,L 27-30,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2008,2008-11-09,9,10,22.212,KAN,@,SDG,L 19-20,False,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0,,0,,,,,,,True,Connor Barth
2008,2008-11-16,10,11,22.219,KAN,,NOR,L 20-30,False,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,Connor Barth
2008,2008-11-23,11,12,22.226,KAN,,BUF,L 31-54,False,4,4,100.0,1,1,100.0,0,7,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,Connor Barth
2008,2008-11-30,12,13,22.233,KAN,@,OAK,W 20-13,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2008,2008-12-07,13,14,22.240,KAN,@,DEN,L 17-24,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2008,2008-12-14,14,15,22.247,KAN,,SDG,L 21-22,False,3,3,100.0,,2,0.0,0,3,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2008,2008-12-21,15,16,22.254,KAN,,MIA,L 31-38,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,,,,,,,False,Connor Barth
2009,2009-11-08,8,9,23.211,TAM,,GNB,W 38-28,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2009,2009-11-15,9,10,23.218,TAM,@,MIA,L 23-25,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2009,2009-11-22,10,11,23.225,TAM,,NOR,L 7-38,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2009,2009-11-29,11,12,23.232,TAM,@,ATL,L 17-20,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,1,46,46.00,0,,,,,,,True,Connor Barth
2009,2009-12-06,12,13,23.239,TAM,@,CAR,L 6-16,False,,,,2,4,50.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2009,2009-12-13,13,14,23.246,TAM,,NYJ,L 3-26,False,,,,1,1,100.0,0,3,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,Connor Barth
2009,2009-12-20,14,15,23.253,TAM,@,SEA,W 24-7,False,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2009,2009-12-27,15,16,23.260,TAM,@,NOR,W 20-17,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2009,2010-01-03,16,17,23.267,TAM,,ATL,L 10-20,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2010,2010-09-12,1,1,24.154,TAM,,CLE,W 17-14,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2010,2010-09-19,2,2,24.161,TAM,@,CAR,W 20-7,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,1,33,33.00,0,,,,,,,True,Connor Barth
2010,2010-09-26,3,3,24.168,TAM,,PIT,L 13-38,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2010,2010-10-10,4,5,24.182,TAM,@,CIN,W 24-21,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2010,2010-10-17,5,6,24.189,TAM,,NOR,L 6-31,False,,,,,2,0.0,0,0,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2010,2010-10-24,6,7,24.196,TAM,,STL,W 18-17,False,,,,4,4,100.0,0,12,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2010,2010-10-31,7,8,24.203,TAM,@,ARI,W 38-35,False,5,5,100.0,1,2,50.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2010,2010-11-07,8,9,24.210,TAM,@,ATL,L 21-27,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2010,2010-11-14,9,10,24.217,TAM,,CAR,W 31-16,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2010,2010-11-21,10,11,24.224,TAM,@,SFO,W 21-0,False,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2010,2010-11-28,11,12,24.231,TAM,@,BAL,L 10-17,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2010,2010-12-05,12,13,24.238,TAM,,ATL,L 24-28,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2010,2010-12-12,13,14,24.245,TAM,@,WAS,W 17-16,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2010,2010-12-19,14,15,24.252,TAM,,DET,L 20-23,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2010,2010-12-26,15,16,24.259,TAM,,SEA,W 38-15,False,5,5,100.0,1,2,50.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2010,2011-01-02,16,17,24.266,TAM,@,NOR,W 23-13,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2011,2011-09-11,1,1,25.153,TAM,,DET,L 20-27,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2011,2011-09-18,2,2,25.160,TAM,@,MIN,W 24-20,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2011,2011-09-25,3,3,25.167,TAM,,ATL,W 16-13,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2011,2011-10-03,4,4,25.175,TAM,,IND,W 24-17,False,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2011,2011-10-09,5,5,25.181,TAM,@,SFO,L 3-48,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2011,2011-10-16,6,6,25.188,TAM,,NOR,W 26-20,False,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2011,2011-10-23,7,7,25.195,TAM,,CHI,L 18-24,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2011,2011-11-06,8,9,25.209,TAM,@,NOR,L 16-27,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2011,2011-11-13,9,10,25.216,TAM,,HOU,L 9-37,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2011,2011-11-20,10,11,25.223,TAM,@,GNB,L 26-35,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2011,2011-11-27,11,12,25.230,TAM,@,TEN,L 17-23,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2011,2011-12-04,12,13,25.237,TAM,,CAR,L 19-38,False,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2011,2011-12-11,13,14,25.244,TAM,@,JAX,L 14-41,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2011,2011-12-17,14,15,25.250,TAM,,DAL,L 15-31,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,,0,,,,,,,False,Connor Barth
2011,2011-12-24,15,16,25.257,TAM,@,CAR,L 16-48,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2011,2012-01-01,16,17,25.265,TAM,@,ATL,L 24-45,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,True,Connor Barth
2012,2012-09-09,1,1,26.151,TAM,,CAR,W 16-10,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,16%,False,Connor Barth
2012,2012-09-16,2,2,26.158,TAM,@,NYG,L 34-41,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,16%,True,Connor Barth
2012,2012-09-23,3,3,26.165,TAM,@,DAL,L 10-16,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,2,8%,True,Connor Barth
2012,2012-09-30,4,4,26.172,TAM,,WAS,L 22-24,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,12%,False,Connor Barth
2012,2012-10-14,5,6,26.186,TAM,,KAN,W 38-10,False,5,5,100.0,1,2,50.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,25%,False,Connor Barth
2012,2012-10-21,6,7,26.193,TAM,,NOR,L 28-35,False,4,4,100.0,,1,0.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,17%,False,Connor Barth
2012,2012-10-25,7,8,26.197,TAM,@,MIN,W 36-17,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,18%,True,Connor Barth
2012,2012-11-04,8,9,26.207,TAM,@,OAK,W 42-32,False,6,6,100.0,,2,0.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,23%,True,Connor Barth
2012,2012-11-11,9,10,26.214,TAM,,SDG,W 34-24,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,21%,False,Connor Barth
2012,2012-11-18,10,11,26.221,TAM,@,CAR,W 27-21,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,10%,True,Connor Barth
2012,2012-11-25,11,12,26.228,TAM,,ATL,L 23-24,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,23%,False,Connor Barth
2012,2012-12-02,12,13,26.235,TAM,@,DEN,L 23-31,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,15%,True,Connor Barth
2012,2012-12-09,13,14,26.242,TAM,,PHI,L 21-23,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,9%,False,Connor Barth
2012,2012-12-16,14,15,,TAM,@,NOR,L 0-41,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Connor Barth
2012,2012-12-23,15,16,26.256,TAM,,STL,L 13-28,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,12%,False,Connor Barth
2012,2012-12-30,16,17,26.263,TAM,@,ATL,W 22-17,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,14%,True,Connor Barth
2013,2013-09-08,1,1,,TAM,@,NYJ,L 17-18,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,Connor Barth
2013,2013-09-15,2,2,,TAM,,NOR,L 14-16,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,Connor Barth
2013,2013-09-22,3,3,,TAM,@,NWE,L 3-23,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,Connor Barth
2013,2013-09-29,4,4,,TAM,,ARI,L 10-13,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,Connor Barth
2013,2013-10-13,5,6,,TAM,,PHI,L 20-31,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,Connor Barth
2013,2013-10-20,6,7,,TAM,@,ATL,L 23-31,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,Connor Barth
2013,2013-10-24,7,8,,TAM,,CAR,L 13-31,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,Connor Barth
2013,2013-11-03,8,9,,TAM,@,SEA,L 24-27,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,Connor Barth
2013,2013-11-11,9,10,,TAM,,MIA,W 22-19,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,Connor Barth
2013,2013-11-17,10,11,,TAM,,ATL,W 41-28,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,Connor Barth
2013,2013-11-24,11,12,,TAM,@,DET,W 24-21,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,Connor Barth
2013,2013-12-01,12,13,,TAM,@,CAR,L 6-27,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,Connor Barth
2013,2013-12-08,13,14,,TAM,,BUF,W 27-6,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,Connor Barth
2013,2013-12-15,14,15,,TAM,,SFO,L 14-33,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,False,Connor Barth
